CIN,Company Name,Company Status,RoC,Registration Number,Company Category,Company Sub Category,Class of Company,Date of Incorporation,Age of Company,Activity,Number of Members,LLP Identification Number,Main division of business activity to be carried out in India,Description of main division,Number Of Partners,Number of Designated Partners,Unnamed: 0
U70101MH1991PTC063201,SAJAWAT DWELLERS PRIVATE LIMITED,Active,RoC-Mumbai,63201,Company limited by Shares,Non-govt company,Private,09 September 1991,"30 years, 6 month, 16 days","Real estate activities with own or leased property. [This class includes buying, selling, renting and operating of self-owned or leased real estate such as apartment building and dwellings, non-residential buildings, developing and subdividing real estate into lots etc. Also included are development and sale of land and cemetery lots, operating of apartment hotels and residential mobile home sites.(Development on own account involving construction is classified in class 4520).]  Click here to see other companies involved in same activity.",-,,,,,,
,,-,,-,-,-,,,"52 years, 2 month, 24 days",,-,,,,,,Unnamed: 1
U45200MH1995PTC091987,SAJAWAT PROPERTY DEVELOPERS PRIVATE LIMITED,Active,RoC-Mumbai,91987,Company limited by Shares,Non-govt company,Private,21 August 1995,"26 years, 7 month, 4 days",Building of complete constructions or parts thereof; civil engineering  Click here to see other companies involved in same activity.,-,,,,,,
U51909OR2019PTC030509,SAJAWAT TRADELINK PRIVATE LIMITED,Active,RoC-Cuttack,30509,Company limited by Shares,Non-govt company,Private,15 February 2019,"3 years, 1 month, 10 days",Other wholesale [Includes specialized wholesale not covered in any one of the previous categories and wholesale in a variety of goods without any particular specialization.]  Click here to see other companies involved in same activity.,-,,,,,,
U74999AP2017PTC107200,SAJAWKARA ENGINEERING & CONSTRUCTION PRIVATE LIMITED,Active,RoC-Vijayawada,107200,Company limited by Shares,Non-govt company,Private,08 December 2017,"4 years, 3 month, 17 days",Business activities n.e.c.  Click here to see other companies involved in same activity.,-,,,,,,
,,-,,-,-,-,,,"52 years, 2 month, 24 days",,-,,,,,,Unnamed: 1
U63012MH1995PTC086293,SAJAY SHIPPING AND CLEARING PRIVATE LIMITED,Active,RoC-Mumbai,86293,Company limited by Shares,Non-govt company,Private,10 March 1995,"27 years, 0 month, 15 days",Supporting and auxiliary transport activities; activities of travel agencies  Click here to see other companies involved in same activity.,-,,,,,,
U67200GJ2017PLC097930,SAJCAYA NIDHI LIMITED,Active,RoC-Ahmedabad,97930,Company limited by Shares,Non-govt company,Public,21 June 2017,"4 years, 9 month, 4 days","Activities auxiliary to insurance and pension funding [This class includes activities involved in or closely related to the management of insurance and pension funding other than financial intermediation and includes activities of insurance agents, average and loss adjusters, actuaries and salvage administrators. (Marine salvage is classified in class 6303)].  Click here to see other companies involved in same activity.",-,,,,,,
U51909WB1992PTC055843,SAJDA TRADING PVT LTD,Active,RoC-Kolkata,55843,Company limited by Shares,Non-govt company,Private,01 July 1992,"29 years, 8 month, 24 days",Other wholesale [Includes specialized wholesale not covered in any one of the previous categories and wholesale in a variety of goods without any particular specialization.]  Click here to see other companies involved in same activity.,-,,,,,,
U24130MH1984PTC032279,SAJDEH PROCESSORS PVT LTD,Active,RoC-Mumbai,32279,Company limited by Shares,Non-govt company,Private,25 February 1984,"38 years, 1 month, 0 days",Manufacture of basic chemicals  Click here to see other companies involved in same activity.,-,,,,,,
U51909MH2019PTC324333,SAJDUMS MULTI TRADE INNOVATION TECHNOLOGIES PRIVATE LIMITED,Active,RoC-Mumbai,324333,Company limited by Shares,Non-govt company,Private,20 April 2019,"2 years, 11 month, 5 days",Other wholesale [Includes specialized wholesale not covered in any one of the previous categories and wholesale in a variety of goods without any particular specialization.]  Click here to see other companies involved in same activity.,-,,,,,,
U17299DL2012PTC236209,SAJE APPARELS PRIVATE LIMITED,Active,RoC-Delhi,236209,Company limited by Shares,Non-govt company,Private,21 May 2012,"9 years, 10 month, 4 days",Manufacture of other textiles  Click here to see other companies involved in same activity.,-,,,,,,
U01100GJ2019PTC109158,SAJEEV KHETI PRODUCER COMPANY LIMITED,Active,RoC-Ahmedabad,109158,Company limited by Shares,Non-govt company,Private,17 July 2019,"2 years, 8 month, 8 days",Growing of crops; market gardening; horticulture  Click here to see other companies involved in same activity.,-,,,,,,
